filename,file_size_bytes,frames,width,height,total_pixels,compression_level,drop_frames,reduce_colors,number_of_colors,optimize_transparency,undo_optimizations,resize_percent,target_width,target_height,elapsed_seconds,output_size_bytes
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,true,25,32,32,.070893,51050
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,false,25,32,32,.086334,51050
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,true,50,64,64,.101651,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,false,50,64,64,.107975,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,true,75,96,96,.195538,416430
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,true,25,32,32,.074659,51058
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,true,50,64,64,.106951,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,true,100,128,128,.141314,740657
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,true,75,96,96,.139222,416430
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,false,75,96,96,.196573,416430
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,false,25,32,32,.073992,51058
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,false,50,64,64,.104185,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,false,100,128,128,.132333,740657
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,true,100,128,128,.265472,740657
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,true,false,100,128,128,.267511,740657
197901_128_x_128.gif,778183,42,128,128,688128,0,none,false,256,false,false,75,96,96,.145015,416430
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,true,50,64,64,.098776,88732
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,true,75,96,96,.130287,175860
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,true,100,128,128,.161542,308437
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,true,25,32,32,.075558,26544
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,false,25,32,32,.077687,26544
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,false,50,64,64,.095025,88732
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,false,75,96,96,.138695,175860
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,true,100,128,128,.108754,308437
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,true,false,100,128,128,.164596,308437
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,true,50,64,64,.094465,88732
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,true,25,32,32,.081280,26544
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,true,75,96,96,.123907,175860
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,false,100,128,128,.106423,308437
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,false,25,32,32,.075507,26544
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,false,50,64,64,.092943,88732
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,32,false,false,75,96,96,.125031,175860
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,true,25,32,32,.076771,36819
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,true,50,64,64,.102898,126067
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,false,25,32,32,.077967,36819
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,true,100,128,128,.177275,448986
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,false,50,64,64,.107093,126067
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,true,75,96,96,.174190,252521
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,true,50,64,64,.098129,126067
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,true,100,128,128,.117397,448986
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,false,75,96,96,.173622,252521
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,true,25,32,32,.083095,36819
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,true,false,100,128,128,.176863,448986
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,true,75,96,96,.146932,252521
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,false,100,128,128,.110326,448986
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,false,25,32,32,.074931,36819
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,false,50,64,64,.098519,126067
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,64,false,false,75,96,96,.132031,252521
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,true,25,32,32,.074545,45731
